id_krs,id_mhs,id_mk,id_ta,id_dosen,tanggal_krs,status_krs
1,1,9,5,29,2022-08-10,Disetujui
2,1,1,5,79,2022-08-02,Disetujui
3,1,8,5,93,2022-08-03,Disetujui
4,1,6,5,94,2022-08-01,Disetujui
5,1,3,5,93,2022-08-07,Disetujui
6,1,14,5,19,2022-08-09,Disetujui
7,1,14,6,79,2022-02-18,Disetujui
8,1,13,6,19,2022-02-15,Disetujui
9,1,7,6,79,2022-02-17,Disetujui
10,1,15,6,29,2022-02-04,Disetujui
11,1,6,6,19,2022-02-05,Disetujui
12,1,3,6,19,2022-02-03,Disetujui
13,1,11,6,79,2022-02-20,Disetujui
14,1,11,7,19,2023-08-02,Disetujui
15,1,14,7,19,2023-08-06,Disetujui
16,1,6,7,19,2023-08-14,Disetujui
17,1,15,7,19,2023-08-03,Disetujui
18,1,2,7,29,2023-08-16,Disetujui
19,1,10,7,93,2023-08-20,Disetujui
20,1,11,8,19,2023-02-06,Disetujui
21,1,10,8,94,2023-02-19,Disetujui
22,1,1,8,19,2023-02-07,Disetujui
23,1,8,8,29,2023-02-06,Disetujui
24,1,3,8,79,2023-02-20,Disetujui
25,1,9,8,29,2023-02-14,Disetujui
26,1,13,8,29,2023-02-17,Disetujui
27,2,20,7,54,2023-08-12,Disetujui
28,2,28,7,97,2023-08-14,Disetujui
29,2,18,7,80,2023-08-15,Disetujui
30,2,17,7,16,2023-08-11,Disetujui
31,2,16,7,42,2023-08-20,Disetujui
32,2,27,7,40,2023-08-11,Disetujui
33,2,21,8,80,2023-02-07,Disetujui
34,2,23,8,80,2023-02-12,Disetujui
35,2,20,8,42,2023-02-13,Disetujui
36,2,29,8,54,2023-02-05,Disetujui
37,2,30,8,46,2023-02-01,Disetujui
38,2,24,8,46,2023-02-05,Disetujui
39,2,30,9,6,2024-08-13,Disetujui
40,2,18,9,31,2024-08-01,Disetujui
41,2,29,9,100,2024-08-18,Disetujui
42,2,25,9,71,2024-08-16,Disetujui
43,2,28,9,20,2024-08-16,Disetujui
44,2,19,9,16,2024-08-03,Disetujui
45,2,17,9,71,2024-08-10,Disetujui
46,2,28,10,76,2024-02-06,Disetujui
47,2,19,10,71,2024-02-14,Disetujui
48,2,22,10,70,2024-02-10,Disetujui
49,2,23,10,80,2024-02-05,Disetujui
50,2,16,10,16,2024-02-01,Disetujui
51,2,20,10,31,2024-02-11,Disetujui
52,3,120,3,75,2021-08-05,Disetujui
53,3,113,3,75,2021-08-19,Disetujui
54,3,118,3,75,2021-08-16,Disetujui
55,3,110,3,83,2021-08-17,Disetujui
56,3,114,3,39,2021-08-20,Disetujui
57,3,111,3,87,2021-08-20,Disetujui
58,3,115,3,78,2021-08-03,Disetujui
59,3,117,4,75,2021-02-01,Disetujui
60,3,108,4,87,2021-02-18,Disetujui
61,3,111,4,83,2021-02-16,Disetujui
62,3,106,4,95,2021-02-07,Disetujui
63,3,113,4,27,2021-02-10,Disetujui
64,3,109,4,75,2021-02-17,Disetujui
65,3,112,5,39,2022-08-10,Disetujui
66,3,117,5,84,2022-08-03,Disetujui
67,3,106,5,39,2022-08-15,Disetujui
68,3,110,5,87,2022-08-11,Disetujui
69,3,119,5,78,2022-08-07,Disetujui
70,3,109,5,39,2022-08-19,Disetujui
71,3,106,6,83,2022-02-05,Disetujui
72,3,119,6,95,2022-02-01,Disetujui
73,3,111,6,84,2022-02-06,Disetujui
74,3,114,6,9,2022-02-10,Disetujui
75,3,113,6,9,2022-02-17,Disetujui
76,3,113,7,27,2023-08-17,Disetujui
77,3,107,7,27,2023-08-12,Disetujui
78,3,119,7,84,2023-08-11,Disetujui
79,3,108,7,95,2023-08-02,Disetujui
80,3,117,7,84,2023-08-05,Disetujui
81,3,113,8,75,2023-02-02,Disetujui
82,3,108,8,9,2023-02-08,Disetujui
83,3,107,8,75,2023-02-05,Disetujui
84,3,110,8,83,2023-02-11,Disetujui
85,3,109,8,84,2023-02-01,Disetujui
86,3,116,9,27,2024-08-02,Disetujui
87,3,117,9,75,2024-08-19,Disetujui
88,3,119,9,27,2024-08-19,Disetujui
89,3,112,9,39,2024-08-13,Disetujui
90,3,114,9,78,2024-08-09,Disetujui
91,3,119,10,83,2024-02-07,Disetujui
92,3,109,10,27,2024-02-10,Disetujui
93,3,118,10,95,2024-02-13,Disetujui
94,3,115,10,84,2024-02-04,Disetujui
95,3,110,10,75,2024-02-19,Disetujui
96,4,169,3,36,2021-08-07,Disetujui
97,4,175,3,32,2021-08-06,Disetujui
98,4,170,3,57,2021-08-11,Disetujui
99,4,171,3,26,2021-08-16,Disetujui
100,4,173,3,32,2021-08-03,Disetujui
101,4,166,3,2,2021-08-20,Disetujui
102,4,180,3,36,2021-08-01,Disetujui
103,4,168,4,48,2021-02-03,Disetujui
104,4,167,4,36,2021-02-02,Disetujui
105,4,166,4,36,2021-02-15,Disetujui
106,4,171,4,32,2021-02-04,Disetujui
107,4,169,4,2,2021-02-16,Disetujui
108,4,176,4,32,2021-02-15,Disetujui
109,4,172,4,36,2021-02-09,Disetujui
110,4,177,5,57,2022-08-13,Disetujui
111,4,180,5,69,2022-08-14,Disetujui
112,4,168,5,2,2022-08-03,Disetujui
113,4,169,5,36,2022-08-16,Disetujui
114,4,167,5,36,2022-08-07,Disetujui
115,4,176,6,69,2022-02-08,Disetujui
116,4,166,6,36,2022-02-12,Disetujui
117,4,175,6,69,2022-02-18,Disetujui
118,4,172,6,48,2022-02-18,Disetujui
119,4,174,6,48,2022-02-14,Disetujui
120,4,171,7,57,2023-08-12,Disetujui
121,4,178,7,36,2023-08-05,Disetujui
122,4,170,7,69,2023-08-15,Disetujui
123,4,168,7,26,2023-08-02,Disetujui
124,4,176,7,26,2023-08-20,Disetujui
125,4,173,7,26,2023-08-19,Disetujui
126,4,179,8,15,2023-02-17,Disetujui
127,4,177,8,2,2023-02-09,Disetujui
128,4,172,8,26,2023-02-08,Disetujui
129,4,167,8,69,2023-02-04,Disetujui
130,4,178,8,48,2023-02-18,Disetujui
131,4,169,9,32,2024-08-15,Disetujui
132,4,175,9,32,2024-08-01,Disetujui
133,4,171,9,15,2024-08-16,Disetujui
134,4,177,9,36,2024-08-08,Disetujui
135,4,172,9,32,2024-08-18,Disetujui
136,4,167,9,32,2024-08-01,Disetujui
137,4,168,10,15,2024-02-09,Disetujui
138,4,179,10,48,2024-02-13,Disetujui
139,4,178,10,48,2024-02-13,Disetujui
140,4,176,10,69,2024-02-20,Disetujui
141,4,167,10,2,2024-02-16,Disetujui
142,5,74,3,44,2021-08-16,Disetujui
143,5,73,3,90,2021-08-03,Disetujui
144,5,67,3,11,2021-08-08,Disetujui
145,5,69,3,11,2021-08-15,Disetujui
146,5,62,3,90,2021-08-02,Disetujui
147,5,75,3,90,2021-08-07,Disetujui
148,5,63,4,35,2021-02-15,Disetujui
149,5,70,4,11,2021-02-09,Disetujui
150,5,71,4,90,2021-02-06,Disetujui
151,5,61,4,35,2021-02-02,Disetujui
152,5,69,4,11,2021-02-05,Disetujui
153,5,68,4,90,2021-02-16,Disetujui
154,5,62,4,35,2021-02-13,Disetujui
155,5,74,5,11,2022-08-04,Disetujui
156,5,71,5,11,2022-08-15,Disetujui
157,5,70,5,90,2022-08-01,Disetujui
158,5,68,5,44,2022-08-18,Disetujui
159,5,64,5,44,2022-08-14,Disetujui
160,5,72,5,11,2022-08-03,Disetujui
161,5,68,6,11,2022-02-06,Disetujui
162,5,67,6,35,2022-02-15,Disetujui
163,5,69,6,44,2022-02-16,Disetujui
164,5,64,6,35,2022-02-19,Disetujui
165,5,63,6,35,2022-02-07,Disetujui
166,5,62,6,90,2022-02-01,Disetujui
167,5,62,7,11,2023-08-10,Disetujui
168,5,69,7,35,2023-08-16,Disetujui
169,5,71,7,90,2023-08-16,Disetujui
170,5,65,7,90,2023-08-18,Disetujui
171,5,70,7,11,2023-08-05,Disetujui
172,5,74,8,11,2023-02-19,Disetujui
173,5,73,8,90,2023-02-12,Disetujui
174,5,62,8,90,2023-02-02,Disetujui
175,5,68,8,44,2023-02-13,Disetujui
176,5,69,8,44,2023-02-13,Disetujui
177,5,72,9,90,2024-08-06,Disetujui
178,5,63,9,90,2024-08-03,Disetujui
179,5,68,9,11,2024-08-18,Disetujui
180,5,70,9,35,2024-08-02,Disetujui
181,5,69,9,90,2024-08-11,Disetujui
182,5,75,10,35,2024-02-16,Disetujui
183,5,65,10,44,2024-02-18,Disetujui
184,5,68,10,44,2024-02-09,Disetujui
185,5,69,10,35,2024-02-11,Disetujui
186,5,73,10,35,2024-02-19,Disetujui
187,5,67,10,35,2024-02-11,Disetujui
188,6,52,1,55,2020-08-12,Disetujui
189,6,56,1,55,2020-08-15,Disetujui
190,6,59,1,65,2020-08-08,Disetujui
191,6,49,1,68,2020-08-06,Disetujui
192,6,55,1,68,2020-08-08,Disetujui
193,6,48,1,99,2020-08-15,Disetujui
194,6,50,1,99,2020-08-03,Disetujui
195,6,52,2,92,2020-02-19,Disetujui
196,6,46,2,81,2020-02-07,Disetujui
197,6,47,2,86,2020-02-20,Disetujui
198,6,49,2,68,2020-02-04,Disetujui
199,6,50,2,3,2020-02-02,Disetujui
200,6,53,2,92,2020-02-18,Disetujui
201,6,55,2,81,2020-02-07,Disetujui
202,6,46,3,65,2021-08-14,Disetujui
203,6,47,3,99,2021-08-19,Disetujui
204,6,51,3,68,2021-08-08,Disetujui
205,6,55,3,68,2021-08-08,Disetujui
206,6,50,3,81,2021-08-07,Disetujui
