id_nilai,id_krs,nilai_angka,nilai_huruf,bobot_nilai,ip_semester,ipk_kumulatif,tgl_input
1,1,78.98,B+,3.3,3.3,3.3,2026-05-26
2,2,78.98,B+,3.3,3.3,3.3,2026-05-26
3,3,70.13,B,3.0,3.2,3.2,2026-05-26
4,4,60.08,C+,2.3,2.97,2.97,2026-05-26
5,5,48.42,D,1.0,2.58,2.58,2026-05-26
6,6,61.34,C+,2.3,2.55,2.55,2026-05-26
7,7,76.13,B+,3.3,3.3,2.63,2026-05-26
8,8,45.76,D,1.0,1.92,2.4,2026-05-26
9,9,45.21,D,1.0,1.57,2.24,2026-05-26
10,10,75.71,B+,3.3,2.05,2.35,2026-05-26
11,11,65.95,B-,2.7,2.19,2.38,2026-05-26
12,12,85.2,A,4.0,2.51,2.53,2026-05-26
13,13,93.74,A,4.0,2.73,2.65,2026-05-26
14,14,60.8,C+,2.3,2.3,2.62,2026-05-26
15,15,83.81,A-,3.7,2.86,2.67,2026-05-26
16,16,55.93,C,2.0,2.54,2.63,2026-05-26
17,17,72.5,B,3.0,2.66,2.65,2026-05-26
18,18,57.83,C,2.0,2.43,2.58,2026-05-26
19,19,61.88,C+,2.3,2.41,2.56,2026-05-26
20,20,11.58,E,0.0,0.0,2.44,2026-05-26
21,21,30.8,E,0.0,0.0,2.32,2026-05-26
22,22,76.29,B+,3.3,1.1,2.36,2026-05-26
23,23,73.34,B,3.0,1.57,2.39,2026-05-26
24,24,72.56,B,3.0,1.86,2.42,2026-05-26
25,25,76.38,B+,3.3,2.1,2.45,2026-05-26
26,26,98.36,A,4.0,2.37,2.51,2026-05-26
27,27,55.24,C,2.0,2.0,2.0,2026-05-26
28,28,96.47,A,4.0,2.67,2.67,2026-05-26
29,29,96.16,A,4.0,3.0,3.0,2026-05-26
30,30,73.67,B,3.0,3.0,3.0,2026-05-26
31,31,65.26,B-,2.7,2.95,2.95,2026-05-26
32,32,77.97,B+,3.3,3.0,3.0,2026-05-26
33,33,80.68,A-,3.7,3.7,3.11,2026-05-26
34,34,78.52,B+,3.3,3.53,3.13,2026-05-26
35,35,78.6,B+,3.3,3.42,3.16,2026-05-26
36,36,96.26,A,4.0,3.5,3.21,2026-05-26
37,37,58.15,C,2.0,3.25,3.12,2026-05-26
38,38,75.06,B+,3.3,3.26,3.13,2026-05-26
39,39,76.08,B+,3.3,3.3,3.14,2026-05-26
40,40,70.63,B,3.0,3.15,3.13,2026-05-26
41,41,80.76,A-,3.7,3.29,3.15,2026-05-26
42,42,78.79,B+,3.3,3.29,3.16,2026-05-26
43,43,45.54,D,1.0,2.8,3.05,2026-05-26
44,44,51.35,D,1.0,2.48,2.94,2026-05-26
45,45,92.78,A,4.0,2.71,2.99,2026-05-26
46,46,76.24,B+,3.3,3.3,3.01,2026-05-26
47,47,72.4,B,3.0,3.15,3.01,2026-05-26
48,48,76.49,B+,3.3,3.2,3.02,2026-05-26
49,49,78.88,B+,3.3,3.22,3.03,2026-05-26
50,50,76.67,B+,3.3,3.24,3.04,2026-05-26
51,51,68.64,B-,2.7,3.09,3.02,2026-05-26
52,52,52.03,D,1.0,1.0,1.0,2026-05-26
53,53,73.25,B,3.0,2.5,2.5,2026-05-26
54,54,73.56,B,3.0,2.64,2.64,2026-05-26
55,55,56.54,C,2.0,2.5,2.5,2026-05-26
56,56,77.12,B+,3.3,2.6,2.6,2026-05-26
57,57,58.79,C,2.0,2.51,2.51,2026-05-26
58,58,78.11,B+,3.3,2.61,2.61,2026-05-26
59,59,78.3,B+,3.3,3.3,2.7,2026-05-26
60,60,89.09,A,4.0,3.65,2.84,2026-05-26
61,61,26.61,E,0.0,2.43,2.56,2026-05-26
62,62,62.58,C+,2.3,2.4,2.54,2026-05-26
63,63,67.94,B-,2.7,2.5,2.56,2026-05-26
64,64,61.13,C+,2.3,2.47,2.54,2026-05-26
65,65,94.77,A,4.0,4.0,2.64,2026-05-26
66,66,78.1,B+,3.3,3.65,2.68,2026-05-26
67,67,72.22,B,3.0,3.43,2.7,2026-05-26
68,68,89.1,A,4.0,3.57,2.77,2026-05-26
69,69,66.81,B-,2.7,3.4,2.77,2026-05-26
70,70,99.34,A,4.0,3.5,2.83,2026-05-26
71,71,77.88,B+,3.3,3.3,2.85,2026-05-26
72,72,72.59,B,3.0,3.15,2.86,2026-05-26
73,73,78.34,B+,3.3,3.2,2.87,2026-05-26
74,74,78.03,B+,3.3,3.22,2.89,2026-05-26
75,75,95.76,A,4.0,3.49,2.97,2026-05-26
76,76,82.86,A-,3.7,3.7,3.02,2026-05-26
77,77,48.04,D,1.0,3.03,2.98,2026-05-26
78,78,66.97,B-,2.7,2.94,2.97,2026-05-26
79,79,72.57,B,3.0,2.95,2.97,2026-05-26
80,80,70.36,B,3.0,2.96,2.97,2026-05-26
81,81,72.23,B,3.0,3.0,2.97,2026-05-26
82,82,75.17,B+,3.3,3.1,2.98,2026-05-26
83,83,46.24,D,1.0,2.72,2.94,2026-05-26
84,84,77.54,B+,3.3,2.84,2.95,2026-05-26
85,85,71.16,B,3.0,2.87,2.95,2026-05-26
86,86,80.14,A-,3.7,3.7,2.97,2026-05-26
87,87,71.4,B,3.0,3.35,2.97,2026-05-26
88,88,57.04,C,2.0,2.9,2.95,2026-05-26
89,89,82.14,A-,3.7,3.1,2.97,2026-05-26
90,90,72.04,B,3.0,3.09,2.97,2026-05-26
91,91,76.04,B+,3.3,3.3,2.98,2026-05-26
92,92,76.78,B+,3.3,3.3,2.98,2026-05-26
93,93,80.45,A-,3.7,3.43,3.0,2026-05-26
94,94,68.5,B-,2.7,3.25,2.99,2026-05-26
95,95,66.19,B-,2.7,3.14,2.99,2026-05-26
96,96,76.24,B+,3.3,3.3,3.3,2026-05-26
97,97,60.83,C+,2.3,2.7,2.7,2026-05-26
98,98,76.56,B+,3.3,2.92,2.92,2026-05-26
99,99,77.39,B+,3.3,3.03,3.03,2026-05-26
100,100,73.54,B,3.0,3.02,3.02,2026-05-26
101,101,85.17,A,4.0,3.19,3.19,2026-05-26
102,102,81.53,A-,3.7,3.33,3.33,2026-05-26
103,103,82.61,A-,3.7,3.7,3.37,2026-05-26
104,104,56.21,C,2.0,2.85,3.23,2026-05-26
105,105,58.55,C,2.0,2.57,3.11,2026-05-26
106,106,57.98,C,2.0,2.43,3.02,2026-05-26
107,107,86.69,A,4.0,2.65,3.07,2026-05-26
108,108,62.32,C+,2.3,2.59,3.01,2026-05-26
109,109,93.45,A,4.0,2.8,3.08,2026-05-26
110,110,92.46,A,4.0,4.0,3.14,2026-05-26
111,111,85.2,A,4.0,4.0,3.24,2026-05-26
112,112,52.89,D,1.0,3.25,3.12,2026-05-26
113,113,81.07,A-,3.7,3.31,3.14,2026-05-26
114,114,81.79,A-,3.7,3.38,3.17,2026-05-26
115,115,72.97,B,3.0,3.0,3.16,2026-05-26
116,116,90.51,A,4.0,3.5,3.2,2026-05-26
117,117,94.88,A,4.0,3.67,3.23,2026-05-26
118,118,76.28,B+,3.3,3.57,3.23,2026-05-26
119,119,91.03,A,4.0,3.66,3.27,2026-05-26
120,120,45.78,D,1.0,1.0,3.18,2026-05-26
121,121,81.43,A-,3.7,2.35,3.2,2026-05-26
122,122,68.45,B-,2.7,2.47,3.18,2026-05-26
123,123,83.67,A-,3.7,2.78,3.2,2026-05-26
124,124,82.53,A-,3.7,2.96,3.21,2026-05-26
125,125,97.24,A,4.0,3.13,3.24,2026-05-26
126,126,77.08,B+,3.3,3.3,3.24,2026-05-26
127,127,57.66,C,2.0,2.65,3.2,2026-05-26
128,128,73.15,B,3.0,2.77,3.2,2026-05-26
129,129,83.35,A-,3.7,3.0,3.21,2026-05-26
130,130,57.09,C,2.0,2.8,3.18,2026-05-26
131,131,95.41,A,4.0,4.0,3.19,2026-05-26
132,132,58.88,C,2.0,2.8,3.16,2026-05-26
133,133,86.08,A,4.0,3.25,3.18,2026-05-26
134,134,66.21,B-,2.7,3.1,3.17,2026-05-26
135,135,73.81,B,3.0,3.08,3.17,2026-05-26
136,136,89.44,A,4.0,3.24,3.19,2026-05-26
137,137,75.48,B+,3.3,3.3,3.19,2026-05-26
138,138,93.96,A,4.0,3.65,3.21,2026-05-26
139,139,81.22,A-,3.7,3.67,3.22,2026-05-26
140,140,72.72,B,3.0,3.5,3.21,2026-05-26
141,141,80.12,A-,3.7,3.54,3.23,2026-05-26
142,142,16.72,E,0.0,0.0,0.0,2026-05-26
143,143,72.17,B,3.0,1.5,1.5,2026-05-26
144,144,62.86,C+,2.3,1.77,1.77,2026-05-26
145,145,71.35,B,3.0,2.07,2.07,2026-05-26
146,146,72.21,B,3.0,2.26,2.26,2026-05-26
147,147,65.38,B-,2.7,2.33,2.33,2026-05-26
148,148,77.26,B+,3.3,3.3,2.47,2026-05-26
149,149,67.79,B-,2.7,3.0,2.5,2026-05-26
150,150,47.64,D,1.0,2.33,2.33,2026-05-26
151,151,76.33,B+,3.3,2.57,2.43,2026-05-26
152,152,3.38,E,0.0,2.06,2.21,2026-05-26
153,153,76.55,B+,3.3,2.27,2.3,2026-05-26
154,154,87.74,A,4.0,2.51,2.43,2026-05-26
155,155,80.53,A-,3.7,3.7,2.52,2026-05-26
156,156,73.18,B,3.0,3.35,2.55,2026-05-26
157,157,63.59,C+,2.3,3.0,2.54,2026-05-26
158,158,81.89,A-,3.7,3.18,2.61,2026-05-26
159,159,66.69,B-,2.7,3.08,2.61,2026-05-26
160,160,78.79,B+,3.3,3.12,2.65,2026-05-26
161,161,80.75,A-,3.7,3.7,2.7,2026-05-26
162,162,67.18,B-,2.7,3.2,2.7,2026-05-26
163,163,96.85,A,4.0,3.47,2.76,2026-05-26
164,164,72.24,B,3.0,3.35,2.77,2026-05-26
165,165,80.53,A-,3.7,3.42,2.81,2026-05-26
166,166,72.04,B,3.0,3.35,2.82,2026-05-26
167,167,46.23,D,1.0,1.0,2.75,2026-05-26
168,168,55.75,C,2.0,1.5,2.72,2026-05-26
169,169,70.4,B,3.0,2.0,2.73,2026-05-26
170,170,67.17,B-,2.7,2.18,2.73,2026-05-26
171,171,63.43,C+,2.3,2.2,2.71,2026-05-26
172,172,82.51,A-,3.7,3.7,2.75,2026-05-26
173,173,52.45,D,1.0,2.35,2.69,2026-05-26
174,174,60.17,C+,2.3,2.33,2.68,2026-05-26
175,175,95.07,A,4.0,2.75,2.72,2026-05-26
176,176,73.35,B,3.0,2.8,2.73,2026-05-26
177,177,77.09,B+,3.3,3.3,2.74,2026-05-26
178,178,70.12,B,3.0,3.15,2.75,2026-05-26
179,179,83.57,A-,3.7,3.33,2.77,2026-05-26
180,180,71.57,B,3.0,3.25,2.78,2026-05-26
181,181,77.14,B+,3.3,3.26,2.79,2026-05-26
182,182,72.77,B,3.0,3.0,2.8,2026-05-26
183,183,67.53,B-,2.7,2.85,2.8,2026-05-26
184,184,52.87,D,1.0,2.23,2.75,2026-05-26
185,185,47.92,D,1.0,1.93,2.71,2026-05-26
186,186,78.89,B+,3.3,2.2,2.73,2026-05-26
187,187,66.65,B-,2.7,2.28,2.73,2026-05-26
188,188,62.21,C+,2.3,2.3,2.3,2026-05-26
189,189,65.69,B-,2.7,2.47,2.47,2026-05-26
190,190,78.16,B+,3.3,2.72,2.72,2026-05-26
191,191,52.29,D,1.0,2.32,2.32,2026-05-26
192,192,72.87,B,3.0,2.45,2.45,2026-05-26
193,193,65.59,B-,2.7,2.49,2.49,2026-05-26
194,194,78.87,B+,3.3,2.6,2.6,2026-05-26
