nama_prodi,jenjang,tahun_akademik,total_mahasiswa_lulus,lulus_tepat_waktu,rasio_tepat_waktu_pct
Pendidikan Dokter,S1,2020,50,23,46.0
Matematika,S1,2020,80,27,33.75
Teknik Elektro,S1,2020,47,15,31.91
Pendidikan Bahasa Inggris,S1,2020,61,18,29.51
Manajemen,S1,2020,56,14,25.0
Sistem Informasi,S1,2020,60,15,25.0
Teknik Informatika,S1,2020,59,14,23.73
Akuntansi,S1,2020,53,12,22.64
Pendidikan Matematika,S1,2020,68,15,22.06
Teknik Informatika,S2,2020,57,12,21.05
Ilmu Hukum,S1,2020,54,11,20.37
Kimia,S1,2020,65,13,20.0
Pendidikan Dokter,S1,2021,80,38,47.5
Matematika,S1,2021,104,41,39.42
Sistem Informasi,S1,2021,83,28,33.73
Teknik Elektro,S1,2021,70,23,32.86
Pendidikan Bahasa Inggris,S1,2021,79,25,31.65
Teknik Informatika,S1,2021,74,23,31.08
Manajemen,S1,2021,78,22,28.21
Teknik Informatika,S2,2021,86,24,27.91
Kimia,S1,2021,90,24,26.67
Ilmu Hukum,S1,2021,74,19,25.68
Akuntansi,S1,2021,72,18,25.0
Pendidikan Matematika,S1,2021,85,21,24.71
Pendidikan Dokter,S1,2022,88,38,43.18
Matematika,S1,2022,105,41,39.05
Pendidikan Bahasa Inggris,S1,2022,85,25,29.41
Teknik Elektro,S1,2022,82,23,28.05
Sistem Informasi,S1,2022,100,28,28.0
Teknik Informatika,S2,2022,89,24,26.97
Teknik Informatika,S1,2022,89,23,25.84
Manajemen,S1,2022,87,22,25.29
Pendidikan Matematika,S1,2022,86,21,24.42
Kimia,S1,2022,100,24,24.0
Ilmu Hukum,S1,2022,85,19,22.35
Akuntansi,S1,2022,87,18,20.69
Pendidikan Dokter,S1,2023,85,38,44.71
Matematika,S1,2023,98,41,41.84
Sistem Informasi,S1,2023,75,28,37.33
Pendidikan Bahasa Inggris,S1,2023,73,25,34.25
Teknik Informatika,S2,2023,71,24,33.8
Kimia,S1,2023,75,24,32.0
Teknik Informatika,S1,2023,72,23,31.94
Teknik Elektro,S1,2023,74,23,31.08
Pendidikan Matematika,S1,2023,74,21,28.38
Ilmu Hukum,S1,2023,69,19,27.54
Manajemen,S1,2023,89,22,24.72
Akuntansi,S1,2023,77,18,23.38
Pendidikan Dokter,S1,2024,33,15,45.45
Sistem Informasi,S1,2024,31,13,41.94
Teknik Informatika,S2,2024,34,12,35.29
Kimia,S1,2024,32,11,34.38
Matematika,S1,2024,41,14,34.15
Teknik Informatika,S1,2024,31,9,29.03
Teknik Elektro,S1,2024,28,8,28.57
Ilmu Hukum,S1,2024,30,8,26.67
Manajemen,S1,2024,37,8,21.62
Pendidikan Bahasa Inggris,S1,2024,35,7,20.0
Akuntansi,S1,2024,31,6,19.35
Pendidikan Matematika,S1,2024,37,6,16.22
