nama_provinsi,kategori_ekonomi,ump_juta,rata_rata_ipk,jumlah_mahasiswa
DKI Jakarta,Tinggi,5.73,2.958,37
Papua,Tinggi,4.44,3.037,39
Kepulauan Bangka Belitung,Tinggi,4.04,2.991,55
Sulawesi Utara,Tinggi,4.0,2.974,47
Sumatera Selatan,Tinggi,3.94,2.905,46
Aceh,Tinggi,3.93,3.013,33
Sulawesi Selatan,Tinggi,3.92,2.923,45
Kepulauan Riau,Tinggi,3.88,2.96,50
Papua Barat,Tinggi,3.84,3.019,42
Riau,Tinggi,3.78,2.942,40
Kalimantan Utara,Tinggi,3.78,2.95,40
Kalimantan Timur,Tinggi,3.76,2.898,34
Kalimantan Selatan,Tinggi,3.73,3.01,42
Kalimantan Tengah,Tinggi,3.69,2.941,48
Maluku Utara,Tinggi,3.51,2.958,50
Jambi,Menengah,3.47,2.95,46
Gorontalo,Menengah,3.41,2.929,50
Maluku,Menengah,3.33,2.966,56
Sulawesi Barat,Menengah,3.32,2.924,36
Sulawesi Tenggara,Menengah,3.31,2.995,47
Sumatera Utara,Menengah,3.23,2.977,44
Bali,Menengah,3.21,3.034,46
Sumatera Barat,Menengah,3.18,2.94,40
Sulawesi Tengah,Menengah,3.18,3.015,40
Banten,Menengah,3.1,2.944,40
Kalimantan Barat,Menengah,3.05,2.977,45
Lampung,Menengah,3.05,2.942,51
Bengkulu,Menengah,2.83,2.994,45
Nusa Tenggara Barat,Menengah,2.67,3.068,49
Nusa Tenggara Timur,Rendah,2.46,3.052,44
Jawa Timur,Rendah,2.45,3.046,44
DI Yogyakarta,Rendah,2.42,2.984,48
Jawa Tengah,Rendah,2.33,2.97,44
Jawa Barat,Rendah,2.32,2.982,37
