akreditasi_sma,nama_prodi,rata_rata_ipk,rata_rata_nilai,jumlah_mahasiswa
A,Teknik Informatika,3.152,75.58,91
A,Pendidikan Matematika,3.148,75.22,53
A,Manajemen,3.14,75.34,57
A,Teknik Elektro,3.137,75.1,45
A,Akuntansi,3.126,75.17,52
A,Ilmu Hukum,3.124,74.64,45
A,Sistem Informasi,3.122,75.37,35
A,Kimia,3.122,74.69,45
A,Matematika,3.107,74.58,63
A,Pendidikan Dokter,3.088,74.87,52
A,Pendidikan Bahasa Inggris,3.073,74.37,42
B,Pendidikan Matematika,3.042,73.08,31
B,Sistem Informasi,3.038,73.38,42
B,Manajemen,3.037,73.34,50
B,Akuntansi,3.026,73.29,42
B,Pendidikan Bahasa Inggris,3.014,73.1,49
B,Ilmu Hukum,3.001,73.05,52
B,Teknik Informatika,2.996,73.12,103
B,Kimia,2.969,72.83,48
B,Matematika,2.96,72.56,52
B,Teknik Elektro,2.942,73.03,29
B,Pendidikan Dokter,2.911,72.01,41
C,Akuntansi,2.821,68.76,14
C,Pendidikan Bahasa Inggris,2.764,69.02,10
C,Teknik Informatika,2.76,68.82,34
C,Sistem Informasi,2.712,68.0,26
C,Pendidikan Matematika,2.687,68.43,18
C,Kimia,2.687,69.15,14
C,Teknik Elektro,2.663,67.8,18
C,Matematika,2.638,68.01,22
C,Pendidikan Dokter,2.634,67.64,20
C,Manajemen,2.624,67.75,17
C,Ilmu Hukum,2.578,68.03,6
TT,Akuntansi,2.724,68.14,10
TT,Teknik Elektro,2.712,67.96,18
TT,Pendidikan Matematika,2.693,67.91,17
TT,Kimia,2.663,68.73,23
TT,Pendidikan Bahasa Inggris,2.662,67.37,24
TT,Teknik Informatika,2.653,68.74,21
TT,Pendidikan Dokter,2.65,67.44,9
TT,Manajemen,2.627,68.01,15
TT,Ilmu Hukum,2.603,68.06,12
TT,Matematika,2.595,67.56,12
TT,Sistem Informasi,2.58,66.94,21
